strategy,final_balance,gross_earnings,gas_paid,net_earnings,rebalance_count,net_return_pct,deposit,gas_type,gas_cost
buy_and_hold,1011.1010759656775,11.101075965677524,0.0,11.101075965677524,0,1.1101075965677525,1000,L2,0.5
always_best,1011.5161249994916,13.51612499949158,2.0,11.51612499949158,4,1.1516124999491582,1000,L2,0.5
threshold_1.0pct,1019.1632655314053,19.663265531405273,0.5,19.163265531405273,1,1.9163265531405274,1000,L2,0.5
threshold_2.0pct,1019.1632655314053,19.663265531405273,0.5,19.163265531405273,1,1.9163265531405274,1000,L2,0.5
fixed_7day,1010.5981602802079,11.098160280207935,0.5,10.598160280207935,1,1.0598160280207936,1000,L2,0.5
buy_and_hold,1011.1010759656775,11.101075965677524,0.0,11.101075965677524,0,1.1101075965677525,1000,L1,5.0
always_best,993.4106037301996,13.410603730199568,20.0,-6.589396269800432,4,-0.6589396269800432,1000,L1,5.0
threshold_1.0pct,1011.1002594683973,11.100259468397326,0.0,11.100259468397326,0,1.1100259468397327,1000,L1,5.0
threshold_2.0pct,1011.1002594683973,11.100259468397326,0.0,11.100259468397326,0,1.1100259468397327,1000,L1,5.0
fixed_7day,1006.0751723689773,11.075172368977292,5.0,6.075172368977292,1,0.6075172368977292,1000,L1,5.0
buy_and_hold,5055.505379828388,55.50537982838796,0.0,55.50537982838796,0,1.1101075965677591,5000,L2,0.5
always_best,5065.627523339365,67.62752333936533,2.0,65.62752333936533,4,1.3125504667873065,5000,L2,0.5
threshold_1.0pct,5097.853941996101,98.35394199610073,0.5,97.85394199610073,1,1.9570788399220145,5000,L2,0.5
threshold_2.0pct,5097.853941996101,98.35394199610073,0.5,97.85394199610073,1,1.9570788399220145,5000,L2,0.5
fixed_7day,5055.001018250475,55.50101825047477,0.5,55.00101825047477,1,1.1000203650094953,5000,L2,0.5
buy_and_hold,5055.505379828388,55.50537982838796,0.0,55.50537982838796,0,1.1101075965677591,5000,L1,5.0
always_best,5047.5220020700735,67.52200207007354,20.0,47.52200207007354,4,0.9504400414014708,5000,L1,5.0
threshold_1.0pct,5055.501297341986,55.501297341986174,0.0,55.501297341986174,0,1.1100259468397236,5000,L1,5.0
threshold_2.0pct,5055.501297341986,55.501297341986174,0.0,55.501297341986174,0,1.1100259468397236,5000,L1,5.0
fixed_7day,5050.478030339244,55.47803033924356,5.0,50.47803033924356,1,1.0095606067848713,5000,L1,5.0
buy_and_hold,10111.010759656776,111.01075965677592,0.0,111.01075965677592,0,1.1101075965677591,10000,L2,0.5
always_best,10133.26677126421,135.26677126421055,2.0,133.26677126421055,4,1.3326677126421054,10000,L2,0.5
threshold_1.0pct,10196.21728757697,196.7172875769702,0.5,196.2172875769702,1,1.9621728757697017,10000,L2,0.5
threshold_2.0pct,10196.21728757697,196.7172875769702,0.5,196.2172875769702,1,1.9621728757697017,10000,L2,0.5
fixed_7day,10110.504590713308,111.00459071330806,0.5,110.50459071330806,1,1.1050459071330807,10000,L2,0.5
buy_and_hold,10111.010759656776,111.01075965677592,0.0,111.01075965677592,0,1.1101075965677591,10000,L1,5.0
always_best,10115.161249994917,135.16124999491694,20.0,115.16124999491694,4,1.1516124999491695,10000,L1,5.0
threshold_1.0pct,10191.632655314053,196.6326553140534,5.0,191.6326553140534,1,1.9163265531405342,10000,L1,5.0
threshold_2.0pct,10191.632655314053,196.6326553140534,5.0,191.6326553140534,1,1.9163265531405342,10000,L1,5.0
fixed_7day,10105.981602802076,110.98160280207594,5.0,105.98160280207594,1,1.0598160280207594,10000,L1,5.0
